gene_id,MON-01,MON-02,MON-03,MON-04,MON-05,MON-06,MON-07,MON-08,MON-09,MON-10,MON-11,MON-12,R-01,R-02,R-03,R-04,R-05,R-06,R-07,R-08,R-09,R-10,R-11,R-12,UON-01,UON-02,UON-03,UON-04,UON-05,UON-06,UON-07,UON-08,UON-09,UON-10,UON-11,UON-12
ENSMUSG00000025902|Sox17,65,35,37,94,48,234,320,67,184,124,232,17,113,96,60,38,68,58,124,33,52,48,81,72,68,160,134,169,129,99,354,91,214,232,241,260
ENSMUSG00000104238|Gm37587,0,4,4,8,0,20,0,12,4,12,12,6,4,0,4,4,0,8,0,4,0,0,27,0,4,0,8,46,16,0,27,0,20,0,4,30
ENSMUSG00000025900|Rp1,36,9,99,12,18,26,22,85,40,25,228,18,77025,52954,58824,46151,49621,38393,58345,27562,33299,45741,53595,52016,28,12,17,6,17,12,9,19,63,26,56,20
ENSMUSG00000104123|Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,4,0,2,4,12,14,2,9,2,0,59,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948|Gm6101,0,0,0,0,0,0,0,7,0,0,0,0,42,5,13,11,6,2,3,8,11,12,2,22,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104|Gm6085,5,0,0,0,3,17,17,12,5,8,37,12,0,14,6,13,5,5,8,13,20,16,26,17,0,0,11,16,5,5,23,0,0,0,14,0
ENSMUSG00000089699|Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147|Gm7341,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0
ENSMUSG00000102851|Gm18956,1,12,29,28,0,16,16,35,11,0,7,0,8,1,23,29,11,8,9,7,7,42,34,27,0,0,12,1,0,3,0,0,0,1,0,0
ENSMUSG00000051951|Xkr4,16,13,37,51,11,76,87,44,61,33,85,13,118,120,92,173,67,149,74,59,192,125,170,174,0,0,0,19,26,20,38,25,48,36,16,16
ENSMUSG00000102331|Gm19938,94,68,105,44,44,95,142,99,134,134,365,81,285,371,509,331,267,263,201,201,385,537,357,276,20,0,59,16,25,40,98,57,32,0,58,16
ENSMUSG00000103377|Gm37180,35,32,106,58,28,97,52,66,85,24,138,43,192,212,301,184,110,131,126,61,186,201,229,234,0,24,8,21,0,17,8,12,69,16,5,0
ENSMUSG00000104017|Gm37363,33,9,73,24,9,50,65,104,48,37,117,36,128,130,130,101,150,91,74,47,76,122,157,183,0,0,12,0,26,20,18,0,24,20,0,0
ENSMUSG00000103025|Gm37686,33,2,12,9,12,8,9,50,41,4,47,0,69,52,45,35,73,37,32,15,40,62,50,13,0,12,0,0,16,0,13,0,4,5,16,0
ENSMUSG00000103161|Gm38148,0,23,13,9,12,54,15,16,6,0,28,0,4,44,47,51,43,56,9,5,29,53,43,41,1,0,8,3,11,0,0,8,5,3,0,5
ENSMUSG00000103201|Gm37329,0,0,12,0,0,0,32,17,16,9,12,0,41,17,28,30,9,60,25,2,9,67,24,16,0,0,0,0,4,0,0,0,0,9,13,0
ENSMUSG00000088000|Gm25493,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265|Gm2053,12,0,3,0,0,0,9,0,8,4,0,0,4,4,0,0,0,0,0,4,5,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0
ENSMUSG00000033845|Mrpl15,621,485,1294,425,641,1787,2055,1758,1590,952,992,554,2131,1203,1835,1276,2150,1704,2914,876,1288,1709,2350,1918,352,2661,1525,809,1304,1070,1297,524,1529,1295,790,1252
ENSMUSG00000103922|Gm6123,17,6,26,10,8,42,30,18,38,29,37,4,110,59,53,32,76,66,74,20,36,32,69,80,6,41,20,32,10,20,30,17,67,40,24,14
ENSMUSG00000102275|Gm37144,0,5,0,0,0,0,16,3,0,0,4,0,1,5,13,11,4,25,5,0,20,15,13,9,13,2,0,0,0,0,0,0,0,0,0,5
ENSMUSG00000103280|Gm37277,75,76,105,41,43,83,75,81,88,72,65,15,164,166,210,196,204,112,104,90,142,241,86,129,11,41,129,64,121,57,18,41,68,90,73,73
ENSMUSG00000025903|Lypla1,1731,587,1857,971,811,1974,2135,2053,2239,1646,1977,339,4581,2362,2914,2315,2686,2068,3923,1671,1692,2227,3493,2536,525,2854,2220,1940,2889,1648,2695,989,2617,2290,2657,2459
ENSMUSG00000104217|Gm37988,7,0,0,0,2,3,2,5,10,13,18,0,53,62,46,6,63,0,0,21,7,23,10,0,4,5,9,5,7,4,2,7,20,0,12,2
ENSMUSG00000033813|Tcea1,2323,887,3355,1456,1181,3442,5740,3369,4241,3749,5062,1165,5551,3739,3573,3065,4670,3309,4840,2221,2794,3250,4280,3914,1111,8118,3944,3306,3495,2410,3592,1394,4030,3675,3297,3529
ENSMUSG00000062588|Gm6104,23,5,18,7,7,17,17,13,13,6,6,1,26,14,4,6,15,2,6,5,3,6,19,12,3,43,17,28,50,7,36,3,24,27,14,32
ENSMUSG00000025905|Oprk1,0,0,0,0,8,0,0,0,0,0,0,0,8,13,11,16,29,10,13,4,0,24,17,16,0,0,0,0,0,0,16,0,0,0,0,0
ENSMUSG00000033774|Npbwr1,0,0,0,0,0,6,0,9,0,0,12,0,5,4,0,0,0,0,5,0,0,0,0,8,0,149,0,4,5,0,0,0,0,0,15,0
