"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","26/251","131/11206",0.198473282442748,8.86092272132843,13.6985281798417,8.4964514147853e-18,2.26005607633289e-15,1.27805563858225e-15,"246256/12259/12273/14961/14130/68239/12262/14960/667277/14131/50908/12268/16663/14129/15002/18815/246079/12260/12266/15001/625018/14969/50909/14289/20344/16414",26
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","20/251","95/11206",0.210526315789474,9.39903543719857,12.4437490069578,1.81837724841396e-14,2.41844174039057e-12,1.36762230603767e-12,"58992/12259/12273/12262/12258/667277/14058/11905/50908/12268/16411/232345/22371/18815/12260/12266/625018/50909/16414/18793",20
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","15/251","70/11206",0.214285714285714,9.56687535571998,10.8828703975027,2.84036998153812e-11,2.51846138363047e-09,1.42418314554531e-09,"246256/14961/14960/14131/24088/17969/14129/15002/15170/12266/15001/13058/14969/13057/16414",15
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","20/251","150/11206",0.133333333333333,5.9527224435591,9.24330332715155,1.28893651120766e-10,8.57142779953095e-09,4.84711938991625e-09,"246256/12259/14961/12262/14960/667277/14131/50908/12268/14129/12524/15002/15081/12260/12266/15001/625018/14969/50909/15077",20
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","14/251","77/11206",0.181818181818182,8.1173487866715,9.48576018092943,1.33225446935275e-09,7.08759377695663e-08,4.00801523708992e-08,"12259/12262/12258/667277/17087/50908/12268/15900/12260/12266/625018/50909/16414/66824",14
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","20/251","180/11206",0.111111111111111,4.96060203629925,8.10821143530591,3.41597488216993e-09,1.51441553109533e-07,8.56397913724968e-08,"246256/14961/14130/14960/16985/56619/14131/24088/12370/16411/14129/14127/15002/12266/15001/13040/14969/16149/16414/16154",20
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","26/251","306/11206",0.0849673202614379,3.79340155717001,7.4992431556609,4.85579782747669e-09,1.84520317444114e-07,1.04345743723795e-07,"14963/19354/16819/246256/16410/14961/14130/17105/16398/14960/14131/24088/17969/21354/14129/110557/15002/12266/15001/13058/13040/14969/13057/226421/16414/15018",26
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","17/251","132/11206",0.128787878787879,5.74978872389231,8.30893953117559,5.65525640318923e-09,1.88037275406042e-07,1.06334574001489e-07,"14283/12702/83433/246256/14130/16822/14728/14131/17969/18018/20375/14129/668101/16391/22177/13057/18034",17
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","20/251","215/11206",0.0930232558139535,4.15306216992495,7.06593698805955,7.13216682159407e-08,2.10795152727114e-06,1.19204092478019e-06,"14963/12702/14961/231805/72512/20296/14960/20293/24088/12370/21354/12010/110557/15002/16391/12266/15001/14969/16149/15018",20
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","12/251","87/11206",0.137931034482759,6.15798873471631,7.3104439336852,4.90769353083785e-07,1.30544647920287e-05,7.38226476362361e-06,"14963/14961/14960/21354/12010/110557/15002/15001/13040/14969/16149/15018",12
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","17/251","180/11206",0.0944444444444444,4.21651173085436,6.58489718453965,5.68219619398798e-07,1.37405835236437e-05,7.77026306280751e-06,"14963/58187/58205/16410/14961/14960/74048/20737/110557/12524/15002/15001/14969/20344/16414/14663/15018",17
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","19/251","228/11206",0.0833333333333333,3.72045152722444,6.28178983707912,8.4533530090316e-07,1.81288250948817e-05,1.02518018805e-05,"14963/13555/14961/15945/14960/24088/12370/21354/12010/110557/12571/15002/16453/12495/16391/15001/14969/18034/15018",19
"Human Diseases","Immune disease","mmu05310","Asthma","7/251","25/11206",0.28,12.5007171314741,8.71347125067362,8.85995211403994e-07,1.81288250948817e-05,1.02518018805e-05,"14961/14960/20292/14127/15002/15001/14969",7
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","12/251","93/11206",0.129032258064516,5.76069913892816,6.97803516412687,1.02339273969765e-06,1.94444620542553e-05,1.09957910460179e-05,"14963/19354/14961/14960/12370/110557/12524/15002/15001/14969/16414/15018",12
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","16/251","171/11206",0.0935672514619883,4.17734908319937,6.33743354632575,1.39538202637992e-06,2.47447746011373e-05,1.39931035497777e-05,"246779/12702/12984/12986/14580/16197/12803/16161/50931/18414/12983/16453/15170/16391/11761/16154",16
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","13/251","117/11206",0.111111111111111,4.96060203629925,6.51845310966345,2.04681064192357e-06,3.40282269219793e-05,1.92428708933443e-05,"19354/246256/16822/12506/22324/26904/18018/14127/15170/22177/23900/56743/16414",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","21/251","294/11206",0.0714285714285714,3.18895845190666,5.7569917246886,2.73186729558791e-06,4.27456882721402e-05,2.41725718637616e-05,"246779/12984/14825/12986/16197/20307/15945/12803/14562/20296/20293/20292/16161/50931/18414/12983/20305/21940/16181/20306/16154",21
