gene_id,MON-01,MON-02,MON-03,MON-04,MON-05,MON-06,MON-07,MON-08,MON-09,MON-10,MON-11,MON-12
ENSMUSG00000025902|Sox17,65,35,37,94,48,234,320,67,184,124,232,17
ENSMUSG00000104238|Gm37587,0,4,4,8,0,20,0,12,4,12,12,6
ENSMUSG00000025900|Rp1,36,9,99,12,18,26,22,85,40,25,228,18
ENSMUSG00000104123|Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948|Gm6101,0,0,0,0,0,0,0,7,0,0,0,0
ENSMUSG00000098104|Gm6085,5,0,0,0,3,17,17,12,5,8,37,12
ENSMUSG00000089699|Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147|Gm7341,0,0,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000102851|Gm18956,1,12,29,28,0,16,16,35,11,0,7,0
ENSMUSG00000051951|Xkr4,16,13,37,51,11,76,87,44,61,33,85,13
ENSMUSG00000102331|Gm19938,94,68,105,44,44,95,142,99,134,134,365,81
ENSMUSG00000103377|Gm37180,35,32,106,58,28,97,52,66,85,24,138,43
ENSMUSG00000104017|Gm37363,33,9,73,24,9,50,65,104,48,37,117,36
ENSMUSG00000103025|Gm37686,33,2,12,9,12,8,9,50,41,4,47,0
ENSMUSG00000103161|Gm38148,0,23,13,9,12,54,15,16,6,0,28,0
ENSMUSG00000103201|Gm37329,0,0,12,0,0,0,32,17,16,9,12,0
ENSMUSG00000088000|Gm25493,0,0,0,0,0,0,1,0,0,1,12,0
ENSMUSG00000103265|Gm2053,12,0,3,0,0,0,9,0,8,4,0,0
ENSMUSG00000033845|Mrpl15,621,485,1294,425,641,1787,2055,1758,1590,952,992,554
ENSMUSG00000103922|Gm6123,17,6,26,10,8,42,30,18,38,29,37,4
ENSMUSG00000102275|Gm37144,0,5,0,0,0,0,16,3,0,0,4,0
ENSMUSG00000103280|Gm37277,75,76,105,41,43,83,75,81,88,72,65,15
ENSMUSG00000025903|Lypla1,1731,587,1857,971,811,1974,2135,2053,2239,1646,1977,339
ENSMUSG00000104217|Gm37988,7,0,0,0,2,3,2,5,10,13,18,0
ENSMUSG00000033813|Tcea1,2323,887,3355,1456,1181,3442,5740,3369,4241,3749,5062,1165
ENSMUSG00000062588|Gm6104,23,5,18,7,7,17,17,13,13,6,6,1
ENSMUSG00000025905|Oprk1,0,0,0,0,8,0,0,0,0,0,0,0
ENSMUSG00000033774|Npbwr1,0,0,0,0,0,6,0,9,0,0,12,0
ENSMUSG00000002459|Rgs20,1660,593,1336,628,838,1743,1426,2001,1428,1276,1494,441
ENSMUSG00000091305|Gm17100,12,0,8,9,6,4,2,2,0,0,8,1
ENSMUSG00000091665|Gm17101,9,0,0,23,0,5,0,0,0,0,0,4
ENSMUSG00000033793|Atp6v1h,3492,1523,4201,2021,2037,6146,5435,5171,5149,4292,6152,1130
ENSMUSG00000085623|Gm16041,51,24,51,79,60,136,55,122,24,21,82,147
ENSMUSG00000102653|Gm37079,109,65,101,83,43,264,48,126,57,54,236,76
