gene_id,R-01,R-02,R-03,R-04,R-05,R-06,R-07,R-08,R-09,R-10,R-11,R-12
ENSMUSG00000025902|Sox17,113,96,60,38,68,58,124,33,52,48,81,72
ENSMUSG00000104238|Gm37587,4,0,4,4,0,8,0,4,0,0,27,0
ENSMUSG00000025900|Rp1,77025,52954,58824,46151,49621,38393,58345,27562,33299,45741,53595,52016
ENSMUSG00000104123|Gm37483,4,12,19,4,0,2,4,12,14,2,9,2
ENSMUSG00000102948|Gm6101,42,5,13,11,6,2,3,8,11,12,2,22
ENSMUSG00000098104|Gm6085,0,14,6,13,5,5,8,13,20,16,26,17
ENSMUSG00000089699|Gm1992,0,0,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147|Gm7341,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102851|Gm18956,8,1,23,29,11,8,9,7,7,42,34,27
ENSMUSG00000051951|Xkr4,118,120,92,173,67,149,74,59,192,125,170,174
ENSMUSG00000102331|Gm19938,285,371,509,331,267,263,201,201,385,537,357,276
ENSMUSG00000103377|Gm37180,192,212,301,184,110,131,126,61,186,201,229,234
ENSMUSG00000104017|Gm37363,128,130,130,101,150,91,74,47,76,122,157,183
ENSMUSG00000103025|Gm37686,69,52,45,35,73,37,32,15,40,62,50,13
ENSMUSG00000103161|Gm38148,4,44,47,51,43,56,9,5,29,53,43,41
ENSMUSG00000103201|Gm37329,41,17,28,30,9,60,25,2,9,67,24,16
ENSMUSG00000088000|Gm25493,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265|Gm2053,4,4,0,0,0,0,0,4,5,0,0,11
ENSMUSG00000033845|Mrpl15,2131,1203,1835,1276,2150,1704,2914,876,1288,1709,2350,1918
ENSMUSG00000103922|Gm6123,110,59,53,32,76,66,74,20,36,32,69,80
ENSMUSG00000102275|Gm37144,1,5,13,11,4,25,5,0,20,15,13,9
ENSMUSG00000103280|Gm37277,164,166,210,196,204,112,104,90,142,241,86,129
ENSMUSG00000025903|Lypla1,4581,2362,2914,2315,2686,2068,3923,1671,1692,2227,3493,2536
ENSMUSG00000104217|Gm37988,53,62,46,6,63,0,0,21,7,23,10,0
ENSMUSG00000033813|Tcea1,5551,3739,3573,3065,4670,3309,4840,2221,2794,3250,4280,3914
ENSMUSG00000062588|Gm6104,26,14,4,6,15,2,6,5,3,6,19,12
ENSMUSG00000025905|Oprk1,8,13,11,16,29,10,13,4,0,24,17,16
ENSMUSG00000033774|Npbwr1,5,4,0,0,0,0,5,0,0,0,0,8
ENSMUSG00000002459|Rgs20,2416,1395,1548,2005,2555,1387,2173,1110,1491,1613,1886,1643
ENSMUSG00000091305|Gm17100,26,18,31,4,12,35,7,6,13,6,10,7
ENSMUSG00000091665|Gm17101,287,120,257,129,103,154,164,63,234,169,110,75
ENSMUSG00000033793|Atp6v1h,7719,5215,5483,4807,6356,4601,7310,3003,3786,4942,7063,5699
ENSMUSG00000085623|Gm16041,730,764,992,614,500,606,703,436,763,1061,487,434
ENSMUSG00000102653|Gm37079,546,518,623,457,494,288,417,199,637,793,265,238
ENSMUSG00000087247|Alkal1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000103355|Gm2147,4,0,0,3,0,0,0,2,0,7,2,0
ENSMUSG00000102706|Gm7417,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845|Gm19026,16,6,27,11,26,16,2,4,11,37,31,11
ENSMUSG00000025907|Rb1cc1,5461,3787,4178,3518,3395,3128,4357,2067,2713,4039,4221,3826
ENSMUSG00000090031|4732440D04Rik,511,300,737,76,136,604,591,211,246,327,403,579
ENSMUSG00000033740|St18,1121,801,712,475,861,696,979,309,591,669,932,907
ENSMUSG00000048538|Gm9826,13,15,6,12,6,7,3,0,0,12,5,13
ENSMUSG00000097797|Gm26901,27,14,18,19,41,23,21,31,9,28,40,21
ENSMUSG00000051285|Pcmtd1,3813,2023,2909,1752,2305,1618,2866,1491,1395,2226,2939,2163
ENSMUSG00000098201|Gm26983,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509|Gm38372,22,16,16,25,25,44,7,0,24,5,17,17
ENSMUSG00000061024|Rrs1,1556,983,1018,699,1042,769,1200,382,643,828,989,769
ENSMUSG00000025909|Sntg1,232,241,430,317,284,257,360,138,290,325,359,301
ENSMUSG00000102647|Gm38024,0,4,0,0,0,0,0,0,0,0,9,0
ENSMUSG00000086235|Gm16284,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093970|Gm23358,2,0,3,0,0,2,0,0,0,3,5,0
ENSMUSG00000103933|Gm36964,2,2,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000076135|Gm24276,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086195|Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504|Gm7445,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819|Gm38008,5,1,16,0,1,7,4,0,7,0,11,0
ENSMUSG00000102871|Gm37143,0,12,21,6,0,15,34,5,12,0,12,0
ENSMUSG00000066693|Gm7493,59,42,35,72,41,38,24,16,25,30,35,41
ENSMUSG00000084353|Gm15452,0,5,0,0,9,0,0,7,0,22,0,0
ENSMUSG00000103884|Gm37005,16,5,31,3,14,11,12,11,21,5,18,5
ENSMUSG00000102316|Gm37629,12,14,16,38,18,25,43,10,12,30,32,16
ENSMUSG00000102253|Gm38259,19,5,37,1,5,5,0,0,0,0,8,8
ENSMUSG00000025912|Mybl1,52,37,102,94,72,9,35,56,34,62,48,88
ENSMUSG00000025911|Adhfe1,241,187,263,257,193,273,246,145,149,176,208,198
ENSMUSG00000081441|Gm6161,6,1,10,13,11,10,10,15,11,5,7,1
ENSMUSG00000079671|2610203C22Rik,47,21,27,5,17,7,17,4,9,38,34,21
ENSMUSG00000067879|Vxn,80,35,13,40,46,16,64,25,21,86,19,34
ENSMUSG00000046101|Mcmdc2,91,52,66,38,23,65,27,41,15,53,27,54
ENSMUSG00000093178|Snord87,7,5,3,3,3,2,4,4,2,6,6,7
ENSMUSG00000098234|Snhg6,712,497,276,459,690,534,880,380,300,393,674,592
ENSMUSG00000097893|1700034P13Rik,71,41,49,25,17,43,114,16,14,29,37,54
ENSMUSG00000025915|Sgk3,196,186,163,95,125,58,181,79,61,201,116,97
ENSMUSG00000046334|Gm6195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088916|Gm22607,0,0,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000045210|Vcpip1,3536,2591,4066,2274,2789,2202,3355,1606,1861,2361,2720,2673
ENSMUSG00000099032|Tcf24,90,92,88,85,114,53,75,24,60,89,71,63
ENSMUSG00000104025|E330040D14Rik,0,0,0,0,8,0,0,0,0,0,4,0
ENSMUSG00000025916|Ppp1r42,1920,1238,710,934,1374,1173,1704,602,942,908,1072,1116
ENSMUSG00000087199|Gm15818,40,43,64,25,18,32,48,24,46,29,9,21
ENSMUSG00000095780|Gm24674,0,1,1,0,0,0,0,0,0,2,0,6
ENSMUSG00000025917|Cops5,5849,3869,3210,3289,4205,3039,4632,2170,2576,3456,4418,3532
ENSMUSG00000056763|Cspp1,3605,2545,3163,2663,2107,1806,2741,1664,2180,2975,2302,2642
ENSMUSG00000102356|1700047N06Rik,28,9,21,29,24,0,29,16,10,20,25,38
ENSMUSG00000088153|Gm26348,18,4,2,5,15,1,3,0,0,7,7,0
ENSMUSG00000067851|Arfgef1,6830,5273,6564,4941,5408,4531,5978,3384,3916,6202,5318,4682
ENSMUSG00000102556|Gm37569,158,126,117,100,95,71,190,40,60,174,56,66
ENSMUSG00000100212|Gm5522,2712,1579,2390,1445,1763,1231,1996,516,1392,1243,2113,1751
ENSMUSG00000042501|Cpa6,4,9,0,0,8,16,5,0,23,26,2,6
ENSMUSG00000103810|Gm38005,0,0,0,0,0,0,0,0,8,5,0,0
ENSMUSG00000083422|Gm15604,11,0,0,0,0,0,0,0,0,0,10,0
ENSMUSG00000094979|Gm25253,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000081417|Gm15603,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960|Prex2,1289,826,1082,708,980,767,1142,496,704,938,1205,794
ENSMUSG00000077318|Gm24173,0,3,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827|Gm28686,0,16,0,6,0,0,4,0,0,0,0,4
ENSMUSG00000016918|Sulf1,2529,1667,1418,1532,1836,1434,2244,1279,847,1765,1207,1012
ENSMUSG00000057715|A830018L16Rik,21,36,81,77,40,30,77,14,36,60,64,58
ENSMUSG00000099845|Gm29273,0,0,0,5,0,0,0,0,0,0,0,0
ENSMUSG00000103561|Gm38069,4,0,1,16,0,12,4,0,0,9,0,15
ENSMUSG00000103825|Gm38178,12,0,2,16,0,4,0,0,12,4,11,12
ENSMUSG00000025938|Slco5a1,897,672,913,569,817,745,798,393,642,849,1191,674
ENSMUSG00000042414|Prdm14,0,0,5,0,0,4,0,0,0,0,5,0
ENSMUSG00000005886|Ncoa2,5385,3171,3903,2553,3249,2031,4164,1162,2961,2353,4230,3330
ENSMUSG00000099183|Gm27881,0,0,0,4,2,1,0,0,1,3,0,6
ENSMUSG00000087782|Gm23169,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102664|Gm38380,401,426,523,470,283,333,378,265,249,502,274,409
ENSMUSG00000102639|Gm38223,23,40,61,32,68,49,20,40,75,59,46,38
ENSMUSG00000103085|Gm38120,599,429,613,417,228,305,473,247,365,470,299,366
ENSMUSG00000103495|Gm37409,182,127,176,111,109,173,138,156,189,195,133,138
ENSMUSG00000103506|Gm38376,233,104,172,118,82,186,116,66,134,196,101,125
ENSMUSG00000104170|Gm37702,65,13,36,50,12,13,28,47,23,28,22,66
ENSMUSG00000025935|Tram1,5569,3667,3691,3023,3504,2886,4136,1663,2363,2655,4046,3366
ENSMUSG00000097711|Gm5523,105,70,64,76,62,55,94,26,70,54,89,71
ENSMUSG00000025937|Lactb2,1075,707,907,744,787,494,789,380,522,634,738,561
ENSMUSG00000102982|Gm38319,93,44,49,34,44,37,60,12,5,21,31,31
ENSMUSG00000054493|Gm9947,0,11,2,0,0,0,0,0,0,12,0,0
ENSMUSG00000025930|Msc,45,5,9,8,26,17,9,5,12,5,35,13
ENSMUSG00000103492|Gm37412,0,0,0,4,0,0,0,0,8,0,0,0
ENSMUSG00000104209|Gm37400,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025932|Eya1,138,112,102,87,72,68,147,92,42,108,156,120
ENSMUSG00000095853|Gm22616,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588|Gm37444,0,0,0,0,0,0,8,0,0,0,4,0
ENSMUSG00000081201|Smt3h2-ps4,37,30,16,19,34,32,38,12,12,19,33,32
ENSMUSG00000082193|Rpl5-ps1,201,98,77,121,160,112,123,67,107,112,187,122
ENSMUSG00000073737|Gm10566,1026,724,794,624,735,481,892,274,607,658,1098,805
ENSMUSG00000077377|Gm25168,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000025925|Terf1,1533,1118,999,1104,876,876,1290,536,611,795,1121,942
ENSMUSG00000088943|Gm23259,0,0,8,0,0,0,0,0,0,7,0,0
ENSMUSG00000104379|Gm37509,195,87,224,135,114,35,89,72,63,163,75,53
ENSMUSG00000032719|Sbspon,2668,1330,966,1123,1478,1162,2193,585,952,1433,1579,1335
ENSMUSG00000092083|Kcnb2,868,781,1295,938,697,647,571,304,785,871,1288,1144
ENSMUSG00000102937|Gm38116,59,225,209,103,118,135,108,55,52,103,157,160
ENSMUSG00000104149|Gm37138,31,43,36,69,54,81,46,20,56,60,111,51
ENSMUSG00000088829|Gm25227,3,0,6,0,1,0,0,0,0,0,0,0
ENSMUSG00000025921|Rdh10,4137,2134,2349,1633,2102,2242,3076,1288,1283,2904,2185,2237
ENSMUSG00000100652|Gm7634,0,0,0,0,0,0,0,0,0,0,4,0
ENSMUSG00000067795|4930444P10Rik,34,3,17,25,15,4,14,0,5,19,40,24
ENSMUSG00000043716|Rpl7,16957,10406,9506,9386,11915,9268,13583,5658,8296,9629,13034,10906
ENSMUSG00000100868|Gm28095,0,1,4,0,0,0,0,4,0,29,0,0
ENSMUSG00000025920|Stau2,2014,1491,1989,1629,1650,1277,2033,780,1288,1533,1965,1706
ENSMUSG00000089982|Gm7568,7,4,18,20,10,3,0,0,8,19,19,1
ENSMUSG00000025940|Tmem70,2242,1423,1445,1328,1817,1180,2552,977,1227,1438,2022,1774
ENSMUSG00000025939|Ube2w,3560,2129,2045,1737,2547,1921,3236,1543,1930,2444,2774,2303
ENSMUSG00000102457|Gm38342,42,4,42,12,7,38,26,17,21,12,70,12
ENSMUSG00000079658|Eloc,4381,2393,2082,2670,2505,2584,3488,1859,1856,1976,3441,2220
ENSMUSG00000025779|Ly96,208,83,73,157,71,95,95,80,95,90,53,32
ENSMUSG00000091020|Gm5828,0,0,14,0,4,0,2,2,2,0,4,6
ENSMUSG00000042686|Jph1,115,160,183,71,95,51,63,64,37,117,106,84
ENSMUSG00000101640|Gm28376,1,1,1,1,1,1,1,1,1,1,1,1
ENSMUSG00000104133|4921511E07Rik,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000025777|Gdap1,2543,1450,2694,1882,2409,2221,3069,1027,1704,2086,2325,2174
ENSMUSG00000025776|Crispld1,104,69,77,95,74,31,92,28,55,100,79,100
ENSMUSG00000085125|Gm16070,85,13,42,21,48,19,39,16,36,59,11,30
ENSMUSG00000099895|Gm28153,3,19,6,17,0,4,11,0,3,21,15,0
ENSMUSG00000099591|Gm17969,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102001|Gm28755,0,0,0,0,4,0,0,0,0,0,0,0
ENSMUSG00000101717|Gm45784,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109887|Gm28756,0,0,0,12,5,0,0,0,4,0,5,0
ENSMUSG00000099473|Gm18775,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596|Tfap2d,142,59,228,124,150,124,145,89,145,149,203,251
ENSMUSG00000089787|Gm15825,4,9,12,25,12,18,11,19,0,8,25,10
ENSMUSG00000100720|Gm10075,34,26,10,33,30,19,37,19,18,15,32,25
ENSMUSG00000025927|Tfap2b,5202,3397,3561,3339,3886,2684,4422,1780,2925,3553,4642,4228
ENSMUSG00000104095|Gm37315,0,0,0,0,1,0,0,0,0,0,8,0
ENSMUSG00000089914|4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760|Pkhd1,12,8,12,5,17,8,2,2,14,16,15,6
ENSMUSG00000090142|Gm15795,0,0,0,0,0,0,0,0,0,3,0,0
ENSMUSG00000070175|Gm24162,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000097934|6720483E21Rik,24,17,46,47,28,10,30,5,8,18,20,6
ENSMUSG00000041859|Mcm3,276,137,253,86,118,145,131,73,70,169,161,118
