"Gene_Name","Log_Fold_Change","P_Value"
"Sox17",-0.193049043820871,0.619224777253007
"Gm37587",-2.24034447861303,0.326731384850314
"Rp1",-0.0258041363103506,0.827834071747116
"Gm37483",1.15979953005974,0.375976882500471
"Gm6101",-0.0873204346772196,0.936666387307093
"Gm6085",-0.365980883292259,0.713074363254279
"Gm1992",1.87262284060929,0.669990877491389
"Gm18956",-0.440485388575451,0.593743357140714
"Xkr4",-0.224933849666011,0.654205151592814
"Gm19938",0.451428344684696,0.216051670892629
"Gm37180",-0.195444089838541,0.610946701489277
"Gm37363",-0.683288405006079,0.0400133400009982
"Gm37686",0.550135972100033,0.30376634837077
"Gm38148",-0.178869811085569,0.837485566097556
"Gm37329",0.561736710880686,0.526073303682162
"Gm2053",-1.27974676507972,0.64321160295604
"Mrpl15",-0.189179950985577,0.384189455442773
"Gm6123",-0.691046083723898,0.056964136621238
"Gm37144",0.204716515344397,0.86915113696908
"Gm37277",0.827102305700252,0.0315565792277965
"Lypla1",-0.0781559823045033,0.648628457866603
"Gm37988",2.15947049559696,0.135116279173834
"Tcea1",-0.0910929201697043,0.505909419919489
"Gm6104",-1.35162468457278,0.123441034603872
"Oprk1",-0.395667101158633,0.682144727197008
"Npbwr1",-2.47666760619675,0.453441882109284
"Rgs20",0.158867703873372,0.474085308147273
"Gm17100",0.599487334574349,0.495143660855952
"Gm17101",1.10592652477995,0.00584754501998766
"Atp6v1h",-0.169814740152379,0.143717485634363
"Gm16041",0.962812250997274,0.000290239559253045
"Gm37079",1.28301809840583,0.000152023457550056
"Alkal1",0,1
"Gm2147",1.42644191154943,0.641291988568876
"Gm19026",-0.220609378171876,0.812218066659354
"Rb1cc1",0.00501975843267027,0.966502231661732
"4732440D04Rik",-0.31794765401713,0.643338076728388
"St18",-0.373828926646124,0.0419254634704472
"Gm9826",-0.620222032578615,0.617100371616981
"Gm26901",-0.177734963383127,0.789069089411871
"Pcmtd1",-0.0549694429228085,0.753138442757196
"Gm38372",-0.163480311974694,0.866049523899342
"Rrs1",0.043767748942053,0.774377324479239
"Sntg1",0.11369338895944,0.653585505871151
"Gm38024",-4.24365287933704,0.311670675950269
"Gm23358",-1.1675962258763,0.712701565711947
"Gm36964",0.74029409584901,0.866607621578523
"Gm38008",-0.102973673897208,0.958065383372493
"Gm37143",1.30795396651948,0.446251118222951
"Gm7493",0.0580019403611501,0.91408967297316
"Gm15452",5.09467988313198,0.104885551312725
"Gm37005",0.57603605873751,0.532106293760096
"Gm37629",0.250614456508985,0.704914937903133
"Mybl1",0.1436199520291,0.814753319735686
"Adhfe1",0.250890007349556,0.380600476518871
"Gm6161",1.84194554377732,0.0911206290820816
"2610203C22Rik",-0.572804181171852,0.465421994550896
"Vxn",0.829339217395744,0.21388209799344
"Mcmdc2",0.206449583735375,0.732940052471052
"Snord87",-0.56826517999904,0.592604584358023
"Snhg6",-0.260746435337663,0.414800107732515
"1700034P13Rik",-0.102013299409548,0.870610953680036
"Sgk3",0.472736149419172,0.231539634032416
"Gm22607",0,1
"Vcpip1",0.131906722537157,0.386378989515594
"Tcf24",0.26132489288053,0.495647149612713
"E330040D14Rik",-3.07638915091567,0.467209184946582
"Ppp1r42",0.0392146556941816,0.870611623530523
"Gm15818",1.57675803059982,0.00693127097246795
"Gm24674",-2.45091255819094,0.521263418045247
"Cops5",-0.0674896917349637,0.640597129885857
"Cspp1",0.278045247057076,0.116961160295437
"1700047N06Rik",-0.395127477204167,0.622445559532523
"Gm26348",-0.0874179267784586,0.957579707926099
"Arfgef1",0.273154933642766,0.0366506406448933
"Gm37569",1.02584797641912,0.00818412544778924
"Gm5522",-0.200965831651298,0.397144705526259
"Cpa6",1.41914145060705,0.393054823693182
"Gm38005",3.96030481247817,0.362081927539905
"Gm15604",-4.3954469711697,0.294336277777506
"Gm25253",1.22228119115646,0.781523833366593
"Prex2",-0.0194502064787165,0.89319929231934
"Gm24173",0,1
"Gm28686",-0.268501028647959,0.933644994573745
"Sulf1",0.692830786803804,0.00214534993423293
"A830018L16Rik",0.0594660188816074,0.902766511305579
"Gm29273",2.44203613395881,0.576914790335002
"Gm38069",-0.529799970133584,0.803130710010789
"Gm38178",-0.696264234836443,0.689928394466394
"Slco5a1",-0.183440796141523,0.384706164029542
"Prdm14",-1.52516711981487,0.716263754023673
"Ncoa2",-0.217717944191388,0.340989130332793
"Gm27881",-1.01438531083644,0.707377322364147
"Gm38380",0.423908929154519,0.147188441765059
"Gm38223",0.527406404805217,0.40261977508606
"Gm38120",0.57303095917142,0.0275562429176736
"Gm37409",0.557898455512248,0.147664103017011
"Gm38376",0.454092927813425,0.255487312912352
"Gm37702",-0.0211033254087923,0.976018358316644
"Tram1",-0.135640249272131,0.268744550924358
"Gm5523",-0.107402247757509,0.760038973441363
"Lactb2",0.249006065797139,0.142197167828873
"Gm38319",0.0519074322979438,0.930392137400606
"Gm9947",3.77733881452562,0.329673559993149
"Msc",-1.27912655434176,0.103143956656471
"Gm37412",3.89702961125856,0.369887840164449
"Eya1",-0.274457225325547,0.455457412666603
"Gm37444",-0.669092027275877,0.873210018753051
"Smt3h2-ps4",-0.562705481227087,0.258227803925632
"Rpl5-ps1",-0.332097627429136,0.305308521570684
"Gm10566",-0.366890480903525,0.0560255197215373
"Gm25168",1.22228119115646,0.781523833366593
"Terf1",-0.00313893711459878,0.986761973363819
"Gm23259",3.77684645232291,0.385002063995764
"Gm37509",1.16905307373788,0.0109576820298908
"Sbspon",-0.0841366915001282,0.722634302857865
"Kcnb2",-0.40578078331793,0.16873786346559
"Gm38116",-0.436938902130239,0.373884086703455
"Gm37138",-0.473758242556408,0.395093638234661
"Gm25227",2.35773686731337,0.590348678120753
"Rdh10",0.104955144180902,0.621029818406805
"Gm7634",-3.07634256236813,0.467216155061585
"4930444P10Rik",-1.12255248484449,0.24886467637601
"Rpl7",-0.13127270029714,0.322655238155744
"Gm28095",5.2969717832651,0.0748699032062552
"Stau2",-0.0504015711967959,0.690481922426014
"Gm7568",0.382991842024369,0.781786731717934
"Tmem70",-0.131365291177643,0.470735316842593
"Ube2w",0.00635684699856483,0.972044175923693
"Gm38342",-0.624093178967998,0.462722397864597
"Eloc",-0.0137281665954698,0.951815547396595
"Ly96",1.53065125941179,0.00066172577362903
"Gm5828",-0.506321283385761,0.81012502041912
"Jph1",0.11577052881923,0.81137345284233
"Gm28376",0.272502864043662,0.88872944792522
"4921511E07Rik",-2.08073724066926,0.628214894250283
"Gdap1",0.0666046152332025,0.731384492671652
"Crispld1",-0.0900252271841658,0.818536082003265
"Gm16070",0.95363779735968,0.148287185768958
"Gm28153",0.592189840040471,0.707739369065902
"Gm28755",0,1
"Gm28756",0.533717187101832,0.86839577886275
"Tfap2d",-0.418543417454985,0.221870401737998
"Gm15825",-0.103095205280648,0.922741634669168
"Gm10075",-0.100564572165437,0.864514617995472
"Tfap2b",-0.228388840138323,0.08608231984989
"Gm37315",-4.07397659993478,0.331842247216733
"Pkhd1",-0.0172916023589096,0.985672819174624
"Gm15795",1.73824552735418,0.692676310311552
"Gm24162",1.22228119115646,0.781523833366593
"6720483E21Rik",1.14494787503703,0.138275510903595
