gene_id,UON-01,UON-02,UON-03,UON-04,UON-05,UON-06,UON-07,UON-08,UON-09,UON-10,UON-11,UON-12
ENSMUSG00000025902|Sox17,68,160,134,169,129,99,354,91,214,232,241,260
ENSMUSG00000104238|Gm37587,4,0,8,46,16,0,27,0,20,0,4,30
ENSMUSG00000025900|Rp1,28,12,17,6,17,12,9,19,63,26,56,20
ENSMUSG00000104123|Gm37483,0,59,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948|Gm6101,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104|Gm6085,0,0,11,16,5,5,23,0,0,0,14,0
ENSMUSG00000089699|Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147|Gm7341,8,0,0,8,0,0,0,0,0,0,0,0
ENSMUSG00000102851|Gm18956,0,0,12,1,0,3,0,0,0,1,0,0
ENSMUSG00000051951|Xkr4,0,0,0,19,26,20,38,25,48,36,16,16
ENSMUSG00000102331|Gm19938,20,0,59,16,25,40,98,57,32,0,58,16
ENSMUSG00000103377|Gm37180,0,24,8,21,0,17,8,12,69,16,5,0
ENSMUSG00000104017|Gm37363,0,0,12,0,26,20,18,0,24,20,0,0
ENSMUSG00000103025|Gm37686,0,12,0,0,16,0,13,0,4,5,16,0
ENSMUSG00000103161|Gm38148,1,0,8,3,11,0,0,8,5,3,0,5
ENSMUSG00000103201|Gm37329,0,0,0,0,4,0,0,0,0,9,13,0
ENSMUSG00000088000|Gm25493,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265|Gm2053,0,0,0,11,0,0,0,0,11,0,0,0
ENSMUSG00000033845|Mrpl15,352,2661,1525,809,1304,1070,1297,524,1529,1295,790,1252
ENSMUSG00000103922|Gm6123,6,41,20,32,10,20,30,17,67,40,24,14
ENSMUSG00000102275|Gm37144,13,2,0,0,0,0,0,0,0,0,0,5
ENSMUSG00000103280|Gm37277,11,41,129,64,121,57,18,41,68,90,73,73
ENSMUSG00000025903|Lypla1,525,2854,2220,1940,2889,1648,2695,989,2617,2290,2657,2459
ENSMUSG00000104217|Gm37988,4,5,9,5,7,4,2,7,20,0,12,2
