Sox17	K04495
Rp1	K10436
Gm24674	K14280
Gm25253	K14280
Gm24173	K14926
Prdm14	K24646
Gm25168	K26326
Stau2	K17597
Gdap1	K22077
Gm24162	K14280
Gm24171	K26326
Gm7094	K25390
Gm22260	K14280
Gm25294	K14280
Gm25814	K14280
Prim2	K02685
Gm15455	K13094
Col19a1	K24340
Gm26418	K14924
Cox5b	K02265
Gm23722	K28335
Gm23126	K26326
AI597479	K15432
Nab1	K22388
Stat4	K11222
Pms1	K10864
1700066M21Rik	K28271
Gm23966	K14280
Fam126b	K21844
Gm25502	K26326
Gm26293	K27215
Gm26287	K14896
Gm23448	K14280
Gm26457	K14885
Gm26457	K14885
Gpr1	K04310
Gm22281	K14280
Gm24788	K14276
Gm15793	K02870
Gm27934	K28308
Bard1	K10683
Gm25939	K14277
Gm24497	K14277
Rpl37a	K02921
Wnt10a	K01357
Des	K07610
Dnpep	K01267
Obsl1	K19574
Inha	K05500
Sp140	K24504
Gm22786	K28398
Sag	K10611
Dgkd	K00901
Gm22549	K14280
Spp2	K04717
Ugt1a5	K00699
Iqca	K24837
Rab17	K07909
Gpc1	K08107
Gm26446	K14280
Gm17415	K02936
Gm22089	K14280
D2hgdh	K18204
Gm24465	K14280
Gm23602	K26326
Gm29667	K00134
Cdh7	K06807
Cdh19	K06806
Gm26080	K26326
Gli2	K16798
Inhbb	K22687
Gm24791	K26326
Acmsd	K03392
Gm23734	K27201
Dars	K22503
Dyrk3	K18669
Optc	K08128
Gm25612	K26345
Rnpep	K01260
B3galt2	K07820
Gm25663	K27172
Tpr	K05207
Lamc2	K06246
Rgs16	K19179
Ier5	K28200
Gm23528	K26326
Gm22357	K14867
Gm25789	K26315
Snord80	K14886
Snord80	K14886
Snord78	K26313
Gm22489	K26312
Gm23212	K26301
Gm26224	K14890
Eef1aknmt	K25166
Fmo1	K00485
Gm24940	K26387
Selp	K25753
Gm24182	K14280
Gm23523	K14280
Gm25235	K14280
Ppox	K05246
Tomm40l	K11518
Fmn2	K02184
Atp1a4	K01539
Rgs7	K16449
Kmo	K00486
Gm23805	K14280
Gm24405	K14276
Sde2	K25059
Tlr5	K10168
Gm26169	K14879
Gm25095	K26326
Gm25269	K14280
Rps6kc1	K04443
Nek2	K20872
Gm26203	K14280
Traf5	K09849
Gstp-ps	K23790
Gm22265	K14279
Lamb3	K06244
Hsd11b1	K15680
G0s2	K29113
Cd34	K06474
Vip	K05264
Katna1	K07767
Lats1	K08791
Gm25410	K26338
Gm25635	K26338
Gm25682	K14276
Gm25979	K14879
Gm23680	K14276
Gm25139	K14908
Phactr2	K17594
Nmbr	K04168
Gje1	K07628
Reps1	K20068
Pde7b	K18436
Raet1e	K07987
Rps12	K02951
Gm23130	K27122
Vnn3	K08069
Gm23410	K14280
Gm25016	K26326
Gm10145	K04552
Gm30534	K07342
Soga3	K27704
Gm25596	K14280
Gm22554	K26342
Lama4	K06241
Gm25613	K26326
Fyn	K05703
Rnu3a	K14483
Gm25526	K26326
Gm26016	K26326
Hsf2	K09415
Gm23058	K14280
Gm23223	K26326
Gm23803	K26326
Psap	K17885
Col13a1	K16617
Hkdc1	K00844
Gm26479	K14280
Gm25862	K14879
Upb1	K01431
Ggt1	K11713
Gm26402	K14280
Gstt3	K00799
Ddt	K10028
Col18a1	K06823
Aire	K10603
Olfr1352	K04257
Olfr1351	K04257
2610008E11Rik	K09228
Odf3l2	K25636
Gm25794	K14280
Palm	K27972
Gm24019	K14280
Gm26243	K14280
Atp5d	K02134
Mbd3	K11591
Gm10778	K09228
Gm4767	K09228
Gm8264	K02893
Gm8137	K02893
Gm8158	K02893
Gm8290	K02893
Zfp873	K09228
Gm32687	K09228
BC024063	K09228
AU041133	K09228
Lmnb2	K07611
Tjp3	K06097
D10Wsu102e	K26142
Tmem263	K28438
Btbd11	K10483
Gm48175	K18193
Gm24430	K14280
Syn3	K19941
Pah	K00500
Chpt1	K00994
Gm26180	K14280
Nedd1	K16547
Gm24241	K26319
Gm24119	K14929
Lta4h	K01254
Ntn4	K06845
Btg1	K14443
Galnt4	K00710
Csl	K24209
Gm23105	K28337
Gm5136	K11864
Rpl6l	K02934
Gm25117	K26342
Gm26495	K26321
Nup107	K14301
Rassf3	K09852
Arhgap9	K20634
Inhbe	K22689
Rdh1	K11154
Gm23819	K14280
Ndufa4l2	K03948
Stat6	K11225
Nab2	K22388
Snord59a	K14880
Atp5b	K02133
Prim1	K02684
Olfr784	K04257
Mmp19	K07998
Pan2	K11162
Gm23182	K27110
Rps26	K02976
Sfi1	K16489
Rnf185	K10666
Osbp2	K20464
Pes1	K14843
Lif	K05419
Gm25142	K14280
Gm11964	K03627
Gm22471	K26326
Gm24958	K27140
Cabp7	K23849
Pgam2	K01834
Snora9	K26324
Ramp3	K08449
Ccm2	K26416
Gm24313	K14923
Wap	K17106
Gm11971	K12160
Igfbp1	K23578
Hus1	K10903
Gm26458	K26331
Fignl1	K22766
Cobl	K18623
Sec61g	K07342
Wdr92	K24761
Spred2	K04703
Aftph	K25218
Gm22807	K28342
Tmem17	K19384
Gm22753	K14280
Efemp1	K18262
Clhc1	K16800
Gm22588	K28343
Fem1al	K17299
Gpr75	K08417
Chac2	K07232
Hba-a2	K13822
Ranbp17	K24115
Gm26070	K26326
Pank3	K09680
Fbll1	K14563
Rars	K01887
Gm22127	K14280
Ccng1	K10145
F630206G17Rik	K24721
Thg1l	K10761
Sox30	K09271
Gm23039	K14276
Gm25296	K27116
Trim7	K12000
Snord95	K27116
Olfr56	K04257
Olfr1396	K04257
Olfr1393	K04257
Olfr10	K04257
Olfr1391	K04257
Olfr1388	K04257
Tbc1d9b	K19951
Ltc4s	K00807
Olfr1378	K04257
Clk4	K23561
0610009B22Rik	K20301
Sec24a	K14007
Gm25291	K26342
Olfr1373	K04257
Gm25930	K14280
Gm24198	K14280
Gm24582	K14280
Zfp692	K28871
Olfr324	K04257
Olfr317	K04257
Olfr311	K04257
Gm12258	K09228
2810021J22Rik	K09228
Trim11	K10650
Arf1	K07937
Zfp867	K09228
Srebf1	K26401
Top3a	K03165
Usp22	K11366
Slc5a10	K14391
Zfp286	K09228
Gm24151	K26359
Pmp22	K13347
Mmgt2	K23566
Ubb	K08770
Usp43	K11856
Gm25819	K14280
Naa38	K12627
Gm25835	K27206
Gm22988	K26342
Gm24029	K26359
Neurl4	K16777
Cldn7	K06087
Dvl2	K02353
Gabarap	K08341
Zmynd15	K24081
Inca1	K28426
Gm22297	K14280
Spns2	K23677
Gm26121	K14276
Ctns	K12386
Olfr1	K04257
Olfr393	K04257
Olfr59	K04257
Smg6	K11124
Ywhae	K06630
Doc2b	K19917
Abr	K20629
Gm22772	K28335
Gm24989	K27176
Coro6	K13886
Nos2	K18760
Nlk	K04468
Tmem199	K23542
Omg	K16666
Gm23293	K14280
Gm24887	K14280
1700071K01Rik	K17080
Gm23444	K14277
Pex12	K13345
Gm23951	K26326
Gas2l2	K24627
Snord7	K27200
Dhrs11	K22970
Gm23506	K14280
Tbx2	K10176
Gm22883	K14280
Tex14	K17540
Rnu3b1	K14483
Rnu3b3	K14483
Rnu3b4	K14483
Rnu3b2	K14483
Gm22068	K14276
Nog	K04658
Acsf2	K23617
Lrrc59	K28626
Pdk2	K00898
Slc35b1	K15276
Nxph3	K16658
Phb	K17080
Igf2bp1	K09655
Gip	K05258
Gm24949	K14483
Gm22423	K14277
Atp5g1	K02128
Pnpo	K00275
Socs7	K04697
Rpl19	K02885
Med1	K10801
Tcap	K19879
Gm22059	K27139
Gm23451	K26337
Gm22061	K14280
Ttc25	K24254
Klhl11	K10449
Naglu	K01205
Stat5b	K11224
Ramp2	K08448
Brca1	K10605
Rpl27	K02901
Gm23849	K14277
Hrob	K27803
Asb16	K10338
Gm25337	K14280
Gfap	K05640
Nmt1	K00671
Arf2	K07937
Cyb561	K08360
Gm23645	K14280
Snord104	K14904
Gm22711	K14928
Cacng1	K04866
Cacng4	K04869
Cacng5	K04870
Abca8a	K05650
Gm22378	K14280
Fam20a	K21957
Slc9a3r1	K13365
Fads6	K12419
Atp5h	K02138
Gm11703	K02889
Wbp2	K22524
Evpl	K10383
Snord1c	K14869
Snord1b	K14869
Pgs1	K16581
Sirt7	K11417
Lrrc45	K25401
Rfng	K05948
Cd7	K06457
Hexdc	K14459
Cybc1	K25863
Narf	K11997
Rab10	K07903
Gm23676	K14280
Hs1bp3	K24094
Kcns3	K04933
Fam49a	K27976
Gm24208	K27110
Gm24142	K14280
Gm22170	K14280
Pqlc3	K23680
Gm22748	K26320
Bnip3l-ps	K15465
Gm29737	K09228
Cpsf3	K14403
Gm25821	K14909
Rnaseh1	K03469
Tpo	K06854
Tmem18	K22145
Dld	K00382
Twistnb	K03004
Gm24429	K26326
Gm25497	K26326
Stxbp6	K08519
Ap4s1	K12403
n-R5s58	K01981
Gm22634	K14276
Gm23804	K14276
Gm25679	K14276
Gm26444	K14276
Gm24305	K14276
Gm22317	K14276
Cfl2	K05765
Srp54b	K03106
Gm2436	K11583
Gm2446	K11583
Gm22296	K14280
Mbip	K09490
Gm22973	K14277
Gm24233	K28398
Gm25970	K27142
Gm24449	K14280
Pole2	K02325
Klhdc1	K25810
Rps29	K02980
Arf6	K07941
L2hgdh	K00109
Pygl	K00688
Trim9	K10649
Timm9	K17781
Gm4756	K11165
Six1	K15614
Daam1	K04512
Mnat1	K20792
Gm23910	K26326
Plekhg3	K23859
Fut8	K00717
Gm25926	K14276
Mpp5	K06091
Plek2	K19993
Rdh12	K11153
Gm23817	K14280
Ttc9	K24930
Rgs6	K16449
Gm22149	K26326
Ltbp2	K08023
Mlh3	K08739
Ttll5	K23628
Ngb	K21893
Pomt2	K00728
Gm23195	K26326
Nrxn3	K07377
Gm25776	K26319
Gm8378	K20067
Flrt2	K16362
Ndufb1-ps	K03957
Gm25203	K14483
Itpk1	K00913
Tmem251	K26747
Gon7	K15903
Gm24334	K26326
Glrx5	K07390
Wars	K01867
Gm22079	K14280
AF357428	K27132
Gm25856	K27132
Gm25854	K27132
Gm22205	K27132
Gm23787	K27132
Dio3	K07754
Gm24564	K27132
DQ267100	K27132
DQ267101	K27132
Gm23508	K27132
Gm25357	K27132
DQ267102	K27132
Rcor1	K26242
Amn	K18259
Gm266	K07839
Tmem179	K29008
Adssl1	K01939
Xrcc3	K10880
Apopt1	K23506
Btbd6	K10478
Mta1	K11660
Wdr60	K22869
Gm6750	K11300
Akr1c18	K05295
Gm10029	K02917
Wdr37	K24744
Mtr	K22183
Gm5928	K02977
Gm2423	K16197
Gm26129	K14280
Inhba	K04667
Gm25020	K14280
Amph	K12562
Sfrp4	K02185
Gpx6	K00432
Olfr1366	K04257
Gm23779	K28308
Olfr1535	K04257
Olfr1364	K04257
Olfr11	K04257
Hist1h2bp	K11252
Hist1h2bq	K11252
Hist1h2an	K11251
Hist1h4n	K11254
Hist1h4m	K11254
Hist1h2br	K11252
Hist1h2ap	K11251
Abt1	K14785
Scgn	K23928
Gm22358	K26337
Gm23206	K14277
Gmds	K01711
Bphl	K18399
Cdyl	K00653
Tmed10-ps	K20352
Ranbp9	K20224
Gm26064	K14280
Cd83	K06510
Fam8a1	K28402
Gm22960	K14280
Gm24620	K27150
Tpmt	K00569
Ninj1	K28236
Bicd2	K18739
Gm25394	K27151
Iars	K01870
Gm23482	K26331
Gm22806	K14922
Auh	K05607
Gm46415	K02908
Tifab	K23835
Dbn1	K25391
Gm24539	K26332
Gm49359	K09228
Gm24095	K26332
Cntnap3	K24337
Rybp-ps	K11469
Gm10323	K09228
Gm10767	K18708
Gm5451	K02940
Zfp729b	K09228
1700001L19Rik	K28109
Gm47655	K11253
Adamts16	K08630
Irx4	K24889
Mrpl36	K02919
Gm8062	K02880
Brd9	K22184
Zfp72	K09228
Zfp825	K09228
Cast	K04281
Ell2	K15183
Gm23127	K26320
Gm24163	K26344
Ttc37	K12600
2210408I21Rik	K24554
Gm24507	K27172
Gm22778	K26326
Gm20379	K11300
Jmy	K24045
Gm6109	K02908
Gm22661	K26360
Ankrd31	K26087
Hexb	K12373
Utp15	K14549
Rpl27a-ps4	K02900
Gm5454	K09431
Gm25631	K26326
Gzmk	K08663
Pelo	K06965
Mocs2	K03635
Isl1	K09370
